name,loc,hrr_kw,area_m2,t0,geodesic__ConvLSTM_fnr_step6,geodesic__ConvLSTM_iou_all,geodesic__ConvLSTM_iou_step6,geodesic__ConvLSTM_rmse_step6,geodesic__FNO PI_fnr_step6,geodesic__FNO PI_iou_all,geodesic__FNO PI_iou_step6,geodesic__FNO PI_rmse_step6,geodesic__FNO no-PI_fnr_step6,geodesic__FNO no-PI_iou_all,geodesic__FNO no-PI_iou_step6,geodesic__FNO no-PI_rmse_step6,interp_geodesic_rmse_CO,interp_geodesic_rmse_T,interp_geodesic_rmse_V,interp_linear_rmse_CO,interp_linear_rmse_T,interp_linear_rmse_V,linear__ConvLSTM_fnr_step6,linear__ConvLSTM_iou_all,linear__ConvLSTM_iou_step6,linear__ConvLSTM_rmse_step6,linear__FNO PI_fnr_step6,linear__FNO PI_iou_all,linear__FNO PI_iou_step6,linear__FNO PI_rmse_step6,linear__FNO no-PI_fnr_step6,linear__FNO no-PI_iou_all,linear__FNO no-PI_iou_step6,linear__FNO no-PI_rmse_step6
sim_1000kw_1m2_T01,T01,1000,1,120.0,0.41382181515369376,0.13279847989020963,0.11698238617478945,0.4252554819100548,0.2681099084094354,0.42184051434599157,0.3568818514005859,0.3032069447948948,0.2281432139881531,0.5105826126535604,0.5315366972474016,0.2055645819459232,25.411476135253906,18.133390426635742,18.585277557373047,41.59028244018555,30.25956153869629,20.419958114624023,0.45545378850919616,0.09473958333333088,0.09980161757971924,0.4593992613914299,0.34804329725199995,0.18653603647297573,0.18785988483680713,0.39831414024139733,0.3863447127390622,0.2484836093504908,0.2943290734823106,0.2936187251865868
sim_1000kw_1m2_T03,T03,1000,1,120.0,0.20759493670868556,0.14176444571636337,0.14662710805744117,0.49057543726346864,0.267510548522981,0.25510787626720793,0.21991385862674945,0.3801423147513096,0.27510548523183537,0.40629974030322474,0.40788224121538086,0.26501086158828896,31.138668060302734,26.091026306152344,19.58670997619629,35.71314239501953,33.69797897338867,18.392654418945312,0.38227848101233564,0.16284336338854422,0.15538102313730515,0.41241472727993683,0.3502109704638395,0.3318332342701595,0.30243519245864003,0.3165198580963079,0.3662447257380876,0.420212145937706,0.44046920821088537,0.208009714976577
sim_1000kw_2m2_T01,T01,1000,2,120.0,0.13435611343554887,0.22758780523775937,0.2393931601953922,0.4873325518535679,0.17294281729420133,0.3330394173932813,0.3403481920795216,0.4014010845512907,0.26220362622024074,0.4311602620695864,0.4788774894386002,0.30970740242451167,42.574501037597656,33.51029586791992,20.94297218322754,61.36512756347656,48.65134048461914,21.612123489379883,0.1171548117154267,0.21997053065013789,0.2475557293703236,0.48989920845312634,0.2668526266851386,0.23555508044256146,0.2673787724651971,0.4527569581015369,0.3682008368199125,0.2719519353613386,0.3296143584767573,0.3546973812986463
sim_1000kw_2m2_T05,T05,1000,2,120.0,0.018357187305532558,0.3582857366403185,0.3836332684824436,0.525451850383837,0.2573117610453462,0.36362972874345306,0.380519687549756,0.4173384664570929,0.3777224642189242,0.41561360083375404,0.4426737494465598,0.3339138534249226,40.997283935546875,40.673500061035156,20.557987213134766,51.44196701049805,46.646244049072266,21.06952476501465,0.023024268823888295,0.354786245353153,0.3813456400291011,0.5195973000750452,0.2993154947105478,0.3182827037327583,0.3316153732881267,0.45369837619204406,0.412570006222647,0.3475268817204202,0.3712881022614805,0.3644883834792639
sim_1500kw_1m2_T02,T02,1500,1,120.0,0.10895660203134397,0.2398192832939678,0.24645639126545185,0.5309035859411118,0.2091412742381306,0.29322426481366604,0.3192322027580471,0.41008018221290443,0.2756232686979337,0.39299049558722027,0.47373188405782796,0.30970683820539757,38.01530075073242,42.370826721191406,20.58407974243164,36.98881149291992,38.467689514160156,21.03938102722168,0.162973222529934,0.23039620305406047,0.23282393733141993,0.5062349807822647,0.22391505078475352,0.29713199928744444,0.30419833514290545,0.41666508222034976,0.2945521698982943,0.3904071626518699,0.45611940298493847,0.31920930239288964
sim_1500kw_1m2_T03,T03,1500,1,120.0,0.18480861244008084,0.18899207354251235,0.19507657077426718,0.5167724315544566,0.21889952153096956,0.25975387112041853,0.25673284843714234,0.417334227261522,0.2589712918658738,0.3715654789213248,0.42591955998610315,0.3103262369042825,36.40786361694336,36.261619567871094,20.688684463500977,38.10234832763672,39.38206481933594,20.17621612548828,0.2631578947366847,0.1845440572479607,0.18311533888225576,0.4652192781507391,0.27930622009552675,0.31759904174613734,0.2767570050527614,0.38985755778991793,0.31997607655483257,0.44863179771385875,0.43663594470029315,0.27868854800754705
sim_1500kw_2m2_T05,T05,1500,2,120.0,0.014480162177812199,0.39067798233681894,0.41188574195105154,0.5051646202788331,0.22096727483341413,0.3748822874753794,0.39356254572049837,0.41968008112963684,0.35215754416439266,0.4034202179009681,0.43193666731020813,0.3370941471673647,57.51675796508789,53.79897689819336,19.9438419342041,73.27875518798828,60.780906677246094,20.43049430847168,0.012742542716474735,0.3904849284171419,0.420968140281499,0.494987814666383,0.24876918621481356,0.3326927225305369,0.34540612516639874,0.46046337518535096,0.3782218360844546,0.3535522120366592,0.3704918032786246,0.37269341533912514
sim_500kw_1m2_T01,T01,500,1,120.0,0.37654320987576845,0.20593915982614605,0.13133940182048923,0.318691153747661,0.4362139917686498,0.4387703252031406,0.3712737127366243,0.1616168527297761,0.3930041152255288,0.46765100671128385,0.4287790697668186,0.11848394721353628,16.710874557495117,11.500722885131836,14.466148376464844,30.853544235229492,25.47383689880371,17.744380950927734,0.5843621399164931,0.06602508019830469,0.05372340425530486,0.40362265719390483,0.6172839506160138,0.1588458618071133,0.1246648793564848,0.28367500929170575,0.46707818929945044,0.25487853444837616,0.2686721991698458,0.19446960706997735
sim_500kw_1m2_T02,T02,500,1,120.0,0.5453367875640605,0.1845984598459643,0.1452213487794186,0.34094348345143843,0.6658031088074278,0.2650246305418197,0.26819126819098943,0.23346801241953688,0.6334196891183504,0.28577371048246963,0.31133113311296884,0.15320160419244053,14.077652931213379,17.46672248840332,17.354305267333984,13.609127044677734,15.735319137573242,18.15293312072754,0.6347150259059136,0.2266886326194025,0.2096654275091378,0.31649613258426557,0.6126943005173411,0.26766040181460343,0.23053199691578216,0.2651493630977163,0.5880829015536424,0.3033664136991042,0.3173652694607611,0.1724058607582977
sim_500kw_1m2_T03,T03,500,1,120.0,0.4448275862061296,0.23963991929221795,0.15347950428972665,0.3293074986719452,0.587931034481745,0.24205889172264267,0.24437627811835955,0.18651013428537663,0.6379310344816588,0.2720381807972285,0.3074670571005747,0.12330092888660317,17.02077293395996,17.61775779724121,15.366358757019043,20.45594596862793,22.892478942871094,13.387141227722168,0.6034482758610286,0.2783216783216005,0.3276353276348609,0.2230842062074191,0.8189655172399674,0.14397905759158117,0.17213114754070144,0.15560120851900192,0.8120689655158413,0.12781278127808945,0.1831932773106165,0.14222990569482202
sim_500kw_1m2_T04,T04,500,1,120.0,0.6355498721219495,0.26127577319583417,0.19971969166068695,0.32033871157824084,0.4999999999993606,0.38452956489394113,0.35545454545422234,0.20103873083438284,0.4309462915595512,0.39230619019715046,0.4341463414629911,0.12449507829856818,13.866904258728027,13.479267120361328,16.965309143066406,17.55959701538086,18.005992889404297,18.429916381835938,0.681585677748489,0.0838486272569822,0.06729729729727911,0.37420173369932963,0.5421994884903553,0.20875824835030488,0.20134983127097786,0.2887699543889201,0.5063938618919356,0.2905495978551792,0.3327586206893683,0.18443990233042953
sim_500kw_2m2_T02,T02,500,2,120.0,0.2721482339315158,0.1734431526017571,0.17465610671110535,0.5039519260607983,0.35958309206696026,0.26529032258063373,0.25513264129175195,0.3865993600868163,0.3497394325417778,0.3992185394772029,0.44195198740635894,0.2740879886821342,27.43873405456543,32.17442321777344,19.99162483215332,26.146936416625977,28.526098251342773,20.419883728027344,0.3497394325417778,0.15818792106077184,0.16033695031408332,0.46135117086695343,0.38737695425571084,0.2649980135081329,0.2388261851015262,0.3948248139687422,0.38158656629972115,0.38179494079652976,0.407633587786104,0.2842912659465279
sim_500kw_2m2_T05,T05,500,2,120.0,0.30595293031827137,0.2284887414413725,0.2153185397279577,0.4321805759652442,0.3331795108443317,0.4313048774298111,0.36370500880937234,0.36597657781932597,0.3899400092291694,0.5150208899794074,0.4809021462348196,0.26465732300947054,21.663118362426758,23.453737258911133,20.0387020111084,27.070110321044922,27.117595672607422,20.85427474975586,0.2842639593907318,0.21012115645365417,0.20646964856227282,0.48865166355204614,0.37332718043360713,0.26042426251242096,0.2615562403697493,0.4100537052879304,0.4720812182738938,0.3313195865994143,0.3487804878047717,0.30943535729944577
