model,small_footprint,medium_footprint,large_footprint
① Sparse-ConvLSTM 단독,0.4122229172844483,0.5835249176757629,0.7144450810736233
② Sparse-FNO 단독,0.2672517062568843,0.5240383520004702,0.7315507462396538
GNN cell-projected (geo IDW),0.18406400602669137,0.15207585808905222,0.2699175748769148
③ Hand-crafted Balanced,0.4026526521552506,0.601464224061682,0.8043230691863883
④ Decoder fn=2.5 ★,0.6176876789297017,0.7707262061401245,0.7955459995211226
⑤ Decoder fn=4.0,0.577981992085825,0.7441081766662391,0.8102664850197904
α Tier 1 GNN (per-node),0.8333714720989258,0.8802216879990694,0.9417018481767052
