model,pearson_r,mean_iou,std_iou,min_iou
① Sparse-ConvLSTM 단독,0.8960308019333605,0.5811705188622278,0.13210166454136402,0.3455031166515178
② Sparse-FNO 단독,0.9024143658690171,0.524839535709822,0.1977147027425513,0.21119929453253475
GNN cell-projected (geo IDW),0.5624305221664206,0.20724210237288834,0.08034824889864255,0.06265356265355496
③ Hand-crafted Balanced,0.980576718363986,0.6183140654461285,0.17532822214475316,0.3650793650790891
④ Decoder fn=2.5 ★,0.7994394100530714,0.7331835029142245,0.08651750486936449,0.5489067894124868
⑤ Decoder fn=4.0,0.8789542374074834,0.7184379307774775,0.10735714597659834,0.5181518151809481
α Tier 1 GNN (per-node),0.48379879024108896,0.8894524524058082,0.09312057771669724,0.6842105262797784
