name,loc,hrr_kw,area_m2,t0,iou_step1,iou_step6,iou_all,rmse_step6,fnr_step6
sim_1000kw_1m2_T01,T01,1000,1,120.0,0.43154523618860563,0.1607089663389692,0.1521422977961684,0.4923656248896942,0.10158201498742583
sim_1000kw_1m2_T03,T03,1000,1,120.0,0.25303514376980635,0.1630337414153235,0.17720277610138135,0.5020843156845043,0.07848101265816163
sim_1000kw_2m2_T01,T01,1000,2,120.0,0.40307387208705847,0.2755102040815925,0.24410308926437124,0.4749831385813149,0.1213389121338348
sim_1000kw_2m2_T05,T05,1000,2,120.0,0.3376981392142186,0.327321668909781,0.28416162939581685,0.4674767143745693,0.243310516490279
sim_1500kw_1m2_T02,T02,1500,1,120.0,0.3732035234119735,0.2717139548349346,0.25845861472154413,0.4767223531255052,0.13342566943668818
sim_1500kw_1m2_T03,T03,1500,1,120.0,0.29028757460646215,0.21956234395649588,0.22529033185919442,0.4851091368854172,0.10586124401907544
sim_1500kw_2m2_T05,T05,1500,2,120.0,0.29961549837317375,0.3375762397241663,0.2911385193835904,0.4463986973432493,0.2626701419055133
sim_500kw_1m2_T01,T01,500,1,120.0,0.3240454076364045,0.06564287865099884,0.06881147380382974,0.5240499352024077,0.1028806584360023
sim_500kw_1m2_T02,T02,500,1,120.0,0.29073756432222064,0.1045761440359933,0.12299737553370195,0.5180955804830012,0.09715025906723167
sim_500kw_1m2_T03,T03,500,1,120.0,0.21517857142837932,0.07705016521476764,0.09148052974895862,0.5391930366222147,0.11551724137911118
sim_500kw_1m2_T04,T04,500,1,120.0,0.33539823008819875,0.10830324909745663,0.10723569350145074,0.5184539444336456,0.0792838874679293
sim_500kw_2m2_T02,T02,500,2,120.0,0.3769725306835903,0.22580645161286994,0.22562203365452949,0.4856566792943079,0.11233352634620015
sim_500kw_2m2_T05,T05,500,2,120.0,0.4108910891087075,0.26308202392961466,0.23564863135920555,0.47713230404871376,0.15782187355784133
