# epoch,train_loss,val_iou,val_fnr
1.000000,0.226832,0.777372,0.064211
2.000000,0.157331,-1.000000,-1.000000
3.000000,0.115694,-1.000000,-1.000000
4.000000,0.109704,-1.000000,-1.000000
5.000000,0.109136,0.866822,0.077616
6.000000,0.108098,-1.000000,-1.000000
7.000000,0.103550,-1.000000,-1.000000
8.000000,0.105525,-1.000000,-1.000000
9.000000,0.105476,-1.000000,-1.000000
10.000000,0.101290,0.870901,0.054636
11.000000,0.102463,-1.000000,-1.000000
12.000000,0.100358,-1.000000,-1.000000
13.000000,0.097204,-1.000000,-1.000000
14.000000,0.095628,-1.000000,-1.000000
15.000000,0.093420,0.876653,0.066464
16.000000,0.097397,-1.000000,-1.000000
17.000000,0.095469,-1.000000,-1.000000
18.000000,0.093394,-1.000000,-1.000000
19.000000,0.089608,-1.000000,-1.000000
20.000000,0.090481,0.870474,0.052157
21.000000,0.088835,-1.000000,-1.000000
22.000000,0.088645,-1.000000,-1.000000
23.000000,0.086243,-1.000000,-1.000000
24.000000,0.086746,-1.000000,-1.000000
25.000000,0.085090,0.868300,0.085727
26.000000,0.081463,-1.000000,-1.000000
27.000000,0.081254,-1.000000,-1.000000
28.000000,0.081074,-1.000000,-1.000000
29.000000,0.078611,-1.000000,-1.000000
30.000000,0.079851,0.867914,0.085840
31.000000,0.079838,-1.000000,-1.000000
32.000000,0.077600,-1.000000,-1.000000
33.000000,0.077283,-1.000000,-1.000000
34.000000,0.078492,-1.000000,-1.000000
35.000000,0.076625,0.877799,0.081559
36.000000,0.076832,-1.000000,-1.000000
37.000000,0.074997,-1.000000,-1.000000
38.000000,0.071422,-1.000000,-1.000000
39.000000,0.074925,-1.000000,-1.000000
40.000000,0.074809,0.859078,0.092824
41.000000,0.072672,-1.000000,-1.000000
42.000000,0.072135,-1.000000,-1.000000
43.000000,0.069498,-1.000000,-1.000000
44.000000,0.069843,-1.000000,-1.000000
45.000000,0.072335,0.855711,0.096091
46.000000,0.072777,-1.000000,-1.000000
47.000000,0.069419,-1.000000,-1.000000
48.000000,0.070223,-1.000000,-1.000000
49.000000,0.069610,-1.000000,-1.000000
50.000000,0.071652,0.866766,0.078067
51.000000,0.071049,-1.000000,-1.000000
52.000000,0.068375,-1.000000,-1.000000
53.000000,0.068831,-1.000000,-1.000000
54.000000,0.066907,-1.000000,-1.000000
55.000000,0.067852,0.865846,0.080996
56.000000,0.067222,-1.000000,-1.000000
57.000000,0.069048,-1.000000,-1.000000
58.000000,0.067451,-1.000000,-1.000000
59.000000,0.067036,-1.000000,-1.000000
60.000000,0.067480,0.870604,0.076828
61.000000,0.067067,-1.000000,-1.000000
62.000000,0.066279,-1.000000,-1.000000
63.000000,0.065256,-1.000000,-1.000000
64.000000,0.066837,-1.000000,-1.000000
65.000000,0.065628,0.869483,0.070181
66.000000,0.066128,-1.000000,-1.000000
67.000000,0.065171,-1.000000,-1.000000
68.000000,0.064991,-1.000000,-1.000000
69.000000,0.066342,-1.000000,-1.000000
70.000000,0.066740,0.870300,0.071758
71.000000,0.066563,-1.000000,-1.000000
72.000000,0.066270,-1.000000,-1.000000
73.000000,0.064925,-1.000000,-1.000000
74.000000,0.065009,-1.000000,-1.000000
75.000000,0.066012,0.866221,0.080207
76.000000,0.066816,-1.000000,-1.000000
77.000000,0.067612,-1.000000,-1.000000
78.000000,0.064164,-1.000000,-1.000000
79.000000,0.063610,-1.000000,-1.000000
80.000000,0.064870,0.866744,0.078968
