name,loc,hrr_kw,area_m2,t0,iou_step1,iou_step6,iou_all,rmse_step6,fnr_step6
sim_1000kw_1m2_T01,T01,1000,1,120.0,0.40888638920111986,0.09968253968250804,0.08851068841646025,0.4110641793841221,0.7385512073266124
sim_1000kw_1m2_T03,T03,1000,1,120.0,0.2815487571700375,0.02349093071661508,0.05492466831571537,0.42235696815946905,0.9333333333325458
sim_1000kw_2m2_T01,T01,1000,2,120.0,0.5631324241088591,0.10810132932026384,0.11401557285872664,0.4342067838616975,0.7996280799624362
sim_1000kw_2m2_T05,T05,1000,2,120.0,0.5720136518769379,0.10759878419450707,0.1224302496328883,0.4574432401106439,0.8347853142498959
sim_1500kw_1m2_T02,T02,1500,1,120.0,0.5191910854310693,0.0924598269468251,0.1053528963072596,0.4348325065446622,0.8273314866108831
sim_1500kw_1m2_T03,T03,1500,1,120.0,0.3401037165080639,0.042309739222979696,0.06798571853614659,0.43277423016354727,0.9049043062195545
sim_1500kw_2m2_T05,T05,1500,2,120.0,0.5131384706228187,0.10847391133775823,0.12326030039960992,0.46188517335054846,0.8398494063131074
sim_500kw_1m2_T01,T01,500,1,120.0,0.24204616344339236,0.052812858782987825,0.05057650137935555,0.4015324007320358,0.7160493827145761
sim_500kw_1m2_T02,T02,500,1,120.0,0.2692527096404625,0.029531568228095884,0.04898801082892555,0.4131924740565461,0.8873056994807159
sim_500kw_1m2_T03,T03,500,1,120.0,0.19033927544554896,0.007444168734488677,0.033161185104645746,0.4215335538573364,0.9637931034466142
sim_500kw_1m2_T04,T04,500,1,120.0,0.30715123094940966,0.0635918937805508,0.06364114015499385,0.40224594051521445,0.7672634271089933
sim_500kw_2m2_T02,T02,500,2,120.0,0.4604827259817982,0.07371536185093525,0.08867933992074592,0.4252686130107048,0.8413433700053032
sim_500kw_2m2_T05,T05,500,2,120.0,0.5728112626482301,0.11278573222805506,0.11959674078165448,0.4281634771506409,0.7928011075215539
