scenario,sparse_conv_iou,sparse_fno_iou,gnn_cell_iou
sim_1000kw_1m2_T01,0.6286567164175352,0.4941225860619252,0.16421150565976675
sim_1000kw_1m2_T03,0.5045099218277183,0.43637846655773394,0.12016559538074734
sim_1000kw_2m2_T01,0.742602351033343,0.7541046200837136,0.26003924133417133
sim_1000kw_2m2_T05,0.7150752225972627,0.7541692402715398,0.29931085863286466
sim_1500kw_1m2_T02,0.6874003189789922,0.689479432107503,0.2061365181085342
sim_1500kw_1m2_T03,0.594685990337877,0.5661108956957867,0.16114249174036435
sim_1500kw_2m2_T05,0.7510791366904314,0.7150289017338974,0.3166147075004294
sim_500kw_1m2_T01,0.3846153846150484,0.21119929453253475,0.2939093484417182
sim_500kw_1m2_T02,0.43779904306185186,0.3106918238992408,0.10466783495298634
sim_500kw_1m2_T03,0.3455031166515178,0.22494529540471556,0.06265356265355496
sim_500kw_1m2_T04,0.48097412480937524,0.3221704111910461,0.2750252780585061
sim_500kw_2m2_T02,0.6062470421199213,0.599541459686435,0.1627838395753305
sim_500kw_2m2_T05,0.6760683760680871,0.7449715370016148,0.2674865488085745
